feature_name,source_file,source_data,timestamp_available,safe_before_first_pitch,leakage_risk,explanation,recommended_fix
home_wins_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_run_diff_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_avg_runs_for_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_avg_runs_against_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_win_pct_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_wins_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_run_diff_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_avg_runs_for_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_avg_runs_against_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_win_pct_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_wins_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_run_diff_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_avg_runs_for_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_avg_runs_against_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_win_pct_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_wins_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_run_diff_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_avg_runs_for_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_avg_runs_against_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_win_pct_l5,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_wins_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_run_diff_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_avg_runs_for_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_avg_runs_against_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_win_pct_l10,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_wins_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_run_diff_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
