feature_name,leakage_risk,safe_before_first_pitch,exclusion_reason,source_file,explanation,recommended_fix
home_lineup_xwoba_vs_hand_L30,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
home_lineup_xwoba_weighted,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
home_lineup_xwoba_top5,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
home_lineup_barrel_rate_vs_hand_L30,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
home_lineup_barrel_rate_weighted,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
home_lineup_barrel_rate_top5,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
away_lineup_xwoba_vs_hand_L30,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
away_lineup_xwoba_weighted,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
away_lineup_xwoba_top5,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
away_lineup_barrel_rate_vs_hand_L30,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
